firstName,lastName,college (at graduation)
Jon,Rahm,Arizona State University
Harris,English,University of Georgia
Brooks,Koepka,Florida State University
Collin,Morikawa,"University of California, Berkeley"
Xander,Schauffele,San Diego State University
Daniel,Berger,Florida State University
Scottie,Scheffler,University of Texas
Paul,Casey,Arizona State University
Russell,Henley,University of Georgia
Mackenzie,Hughes,Kent State University
Kevin,Streelman,Duke University
Patrick,Cantlay,UCLA
Matthew,Wolff,Oklahoma State University
Dustin,Johnson,Coastal Carolina University
Jordan,Speith,University of Texas
Patrick,Reed,Augusta State University
Brian,Harman,University of Georgia
Justin,Thomas,University of Alabama
Chris,Baker,Iowa State University
Hideki,Matsuyama,Tohoku Fukushi University
Bryson,DeChambeau,Southern Methodist University
Dylan,Wu,Northwestern University
Patrick,Rodgers,Stanford University
Sungjae,Im,Korea National Sport University
Adam,Scott,"University of Nevada, Las Vegas"
Robert,MacIntyre,McNeese State University
Lanto,Griffin,Virgina Commonwealth University
Chez,Reavie,Arizona State University
Wade,Ormsby,University of Houston
Si Woo,Kim,Yonsei University
J.T.,Poston,Western Carolina University
Adam,Hadwin,University of Louisville
Dylan,Frittelli,University of Texas
Tom,Hoge,Texas Christian University
Rick,Lamb,University of Tennessee
Bubba,Watson,University of Georgia
Rafa,Cabrera Bello,University of Las Palmas
Gary,Woodland,University of Kansas
Matt,Fitzpatrick,Northwestern University
Kevin,Kisner,University of Georgia
Jhonattan,Vegas,University of Texas
Taylor,Montgomery,"University of Nevada, Las Vegas"
Stewart,Cink,Georgia Tech
Charley,Hoffman,"University of Nevada, Las Vegas"
Phil,Mickelson,Arizona State University
Greyson,Sigg,University of Georgia
Troy,Merritt,Boise State University
Matt,Jones,Arizona State University
Shane,Lowry,Athlone Institute of Technology
Kyle,Westmoreland,United States Air Force Academy
Jimmy,Walker,Baylor University